s,sLabel,point,update,isil,jawp
http://www.wikidata.org/entity/Q11662237,青森県立図書館,Point(140.738639 40.795111),2019-06-07T19:43:42Z,JP-1000175,https://ja.wikipedia.org/wiki/%E9%9D%92%E6%A3%AE%E7%9C%8C%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11662067,青森市民図書館,Point(140.735861 40.827139),2019-02-27T11:44:23Z,JP-1000176,https://ja.wikipedia.org/wiki/%E9%9D%92%E6%A3%AE%E5%B8%82%E6%B0%91%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q20042980,阿南市立那賀川図書館,Point(134.660744 33.951178),2019-02-27T12:46:25Z,JP-1002717,https://ja.wikipedia.org/wiki/%E9%98%BF%E5%8D%97%E5%B8%82%E7%AB%8B%E9%82%A3%E8%B3%80%E5%B7%9D%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11657322,阿南市立羽ノ浦図書館,Point(134.623716 33.954174),2019-02-27T12:46:27Z,JP-1002718,https://ja.wikipedia.org/wiki/%E9%98%BF%E5%8D%97%E5%B8%82%E7%AB%8B%E7%BE%BD%E3%83%8E%E6%B5%A6%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11657329,阿南市立阿南図書館,Point(134.66375 33.922639),2019-02-27T12:46:24Z,JP-1002716,https://ja.wikipedia.org/wiki/%E9%98%BF%E5%8D%97%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11652754,長崎県立長崎図書館,Point(129.880194 32.752972),2019-03-22T06:56:24Z,JP-1002987,https://ja.wikipedia.org/wiki/%E9%95%B7%E5%B4%8E%E7%9C%8C%E7%AB%8B%E9%95%B7%E5%B4%8E%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11652483,長崎市立図書館,Point(129.875556 32.748611),2019-05-26T09:01:57Z,JP-1002988,https://ja.wikipedia.org/wiki/%E9%95%B7%E5%B4%8E%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q28687231,鈴鹿市立図書館,Point(136.571998 34.876402),2019-05-27T17:20:46Z,JP-1002022,https://ja.wikipedia.org/wiki/%E9%88%B4%E9%B9%BF%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11647499,金沢海みらい図書館,Point(136.604278 36.594333),2019-04-21T17:13:52Z,JP-1005327,https://ja.wikipedia.org/wiki/%E9%87%91%E6%B2%A2%E6%B5%B7%E3%81%BF%E3%82%89%E3%81%84%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11647452,金沢市立玉川図書館,Point(136.651625 36.570025),2019-05-26T07:15:18Z,JP-1001502,https://ja.wikipedia.org/wiki/%E9%87%91%E6%B2%A2%E5%B8%82%E7%AB%8B%E7%8E%89%E5%B7%9D%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11647449,金沢市立泉野図書館,,2019-02-27T12:15:45Z,JP-1001505,https://ja.wikipedia.org/wiki/%E9%87%91%E6%B2%A2%E5%B8%82%E7%AB%8B%E6%B3%89%E9%87%8E%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11646426,金光図書館,Point(133.624028 34.538472),2019-02-27T12:42:42Z,JP-1002576,https://ja.wikipedia.org/wiki/%E9%87%91%E5%85%89%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11645790,野洲図書館,Point(136.042972 35.078778),2019-02-27T12:29:48Z,JP-1002068,https://ja.wikipedia.org/wiki/%E9%87%8E%E6%B4%B2%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11645495,野木町立図書館,Point(139.732806 36.224611),2019-02-27T11:52:39Z,JP-1000538,https://ja.wikipedia.org/wiki/%E9%87%8E%E6%9C%A8%E7%94%BA%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11643547,都城市立図書館,Point(131.062583 31.719333),2019-04-21T17:04:30Z,JP-1003107,https://ja.wikipedia.org/wiki/%E9%83%BD%E5%9F%8E%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11636966,足立区立竹の塚図書館,,2019-02-27T12:05:45Z,JP-1001094,https://ja.wikipedia.org/wiki/%E8%B6%B3%E7%AB%8B%E5%8C%BA%E7%AB%8B%E7%AB%B9%E3%81%AE%E5%A1%9A%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11636960,足立区立東和図書館,,2019-02-27T12:05:50Z,JP-1001099,https://ja.wikipedia.org/wiki/%E8%B6%B3%E7%AB%8B%E5%8C%BA%E7%AB%8B%E6%9D%B1%E5%92%8C%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11636952,足立区立佐野図書館,,2019-02-27T12:05:49Z,JP-1001098,https://ja.wikipedia.org/wiki/%E8%B6%B3%E7%AB%8B%E5%8C%BA%E7%AB%8B%E4%BD%90%E9%87%8E%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11636943,足立区立中央図書館,Point(139.802361 35.756472),2019-02-27T12:05:41Z,JP-1001091,https://ja.wikipedia.org/wiki/%E8%B6%B3%E7%AB%8B%E5%8C%BA%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q22119646,足利市立図書館,,2019-02-27T11:52:00Z,JP-1000499,https://ja.wikipedia.org/wiki/%E8%B6%B3%E5%88%A9%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11636614,越谷市立図書館,,2019-07-26T02:03:31Z,JP-1000678,https://ja.wikipedia.org/wiki/%E8%B6%8A%E8%B0%B7%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11634039,豊田市中央図書館,Point(137.156978 35.086217),2019-02-27T12:26:55Z,JP-1001954,https://ja.wikipedia.org/wiki/%E8%B1%8A%E7%94%B0%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11633602,豊川市中央図書館,Point(137.373333 34.827083),2019-03-17T15:10:42Z,JP-1001944,https://ja.wikipedia.org/wiki/%E8%B1%8A%E5%B7%9D%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11633438,豊岡市立図書館,Point(134.821917 35.541083),2019-02-27T12:36:49Z,JP-1002341,https://ja.wikipedia.org/wiki/%E8%B1%8A%E5%B2%A1%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11633265,豊中市立野畑図書館,Point(135.470056 34.8115),2019-02-27T12:33:17Z,JP-1002205,https://ja.wikipedia.org/wiki/%E8%B1%8A%E4%B8%AD%E5%B8%82%E7%AB%8B%E9%87%8E%E7%95%91%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11633223,豊中市立岡町図書館,Point(135.4635 34.780333),2019-02-27T12:33:13Z,JP-1002202,https://ja.wikipedia.org/wiki/%E8%B1%8A%E4%B8%AD%E5%B8%82%E7%AB%8B%E5%B2%A1%E7%94%BA%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11633213,豊中市立千里図書館,Point(135.4945 34.810556),2019-02-27T12:33:16Z,JP-1002204,https://ja.wikipedia.org/wiki/%E8%B1%8A%E4%B8%AD%E5%B8%82%E7%AB%8B%E5%8D%83%E9%87%8C%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11632010,諫早市立諫早図書館,Point(130.052722 32.842611),2019-02-27T12:53:07Z,JP-1002993,https://ja.wikipedia.org/wiki/%E8%AB%AB%E6%97%A9%E5%B8%82%E7%AB%8B%E8%AB%AB%E6%97%A9%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11632008,諫早市立西諫早図書館,Point(130.024429 32.846273),2019-02-27T12:53:09Z,JP-1002994,https://ja.wikipedia.org/wiki/%E8%AB%AB%E6%97%A9%E5%B8%82%E7%AB%8B%E8%A5%BF%E8%AB%AB%E6%97%A9%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11632009,諫早市立森山図書館,Point(130.116417 32.825068),2019-02-27T12:53:09Z,JP-1002995,https://ja.wikipedia.org/wiki/%E8%AB%AB%E6%97%A9%E5%B8%82%E7%AB%8B%E6%A3%AE%E5%B1%B1%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11627740,西尾市立図書館,Point(137.0531 34.8741),2019-08-10T05:34:56Z,JP-1001956,https://ja.wikipedia.org/wiki/%E8%A5%BF%E5%B0%BE%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q48744277,西尾市立吉良図書館,,2019-08-10T05:32:40Z,JP-1002000,https://ja.wikipedia.org/wiki/%E8%A5%BF%E5%B0%BE%E5%B8%82%E7%AB%8B%E5%90%89%E8%89%AF%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11626180,行田市立図書館,Point(139.468472 36.124583),2019-02-27T11:54:43Z,JP-1000636,https://ja.wikipedia.org/wiki/%E8%A1%8C%E7%94%B0%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11622754,藤井寺市立図書館,Point(135.605667 34.574278),2019-02-27T12:35:18Z,JP-1002280,https://ja.wikipedia.org/wiki/%E8%97%A4%E4%BA%95%E5%AF%BA%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11621717,蓮田市図書館,Point(139.654444 35.987222),2019-02-27T11:56:46Z,JP-1000715,https://ja.wikipedia.org/wiki/%E8%93%AE%E7%94%B0%E5%B8%82%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11621416,蒲郡市立図書館,Point(137.226433 34.831617),2019-02-27T12:26:57Z,JP-1001957,https://ja.wikipedia.org/wiki/%E8%92%B2%E9%83%A1%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q28688430,菰野町図書館,,2019-02-27T12:29:04Z,JP-1002037,https://ja.wikipedia.org/wiki/%E8%8F%B0%E9%87%8E%E7%94%BA%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11617904,茨木市立穂積図書館,Point(135.558083 34.81075),2019-02-27T12:34:18Z,JP-1002240,https://ja.wikipedia.org/wiki/%E8%8C%A8%E6%9C%A8%E5%B8%82%E7%AB%8B%E7%A9%82%E7%A9%8D%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11617894,茨木市立水尾図書館,Point(135.575167 34.804194),2019-02-27T12:34:13Z,JP-1002238,https://ja.wikipedia.org/wiki/%E8%8C%A8%E6%9C%A8%E5%B8%82%E7%AB%8B%E6%B0%B4%E5%B0%BE%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11617882,茨木市立庄栄図書館,Point(135.582056 34.826639),2019-02-27T12:34:14Z,JP-1002239,https://ja.wikipedia.org/wiki/%E8%8C%A8%E6%9C%A8%E5%B8%82%E7%AB%8B%E5%BA%84%E6%A0%84%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11617864,茨木市立中条図書館,Point(135.569222 34.814694),2019-02-27T12:34:12Z,JP-1002237,https://ja.wikipedia.org/wiki/%E8%8C%A8%E6%9C%A8%E5%B8%82%E7%AB%8B%E4%B8%AD%E6%9D%A1%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11617863,茨木市立中央図書館,Point(135.565528 34.826889),2019-02-27T12:34:10Z,JP-1002236,https://ja.wikipedia.org/wiki/%E8%8C%A8%E6%9C%A8%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11617408,茨城県立図書館,Point(140.475278 36.375278),2019-02-27T11:50:28Z,JP-1000440,https://ja.wikipedia.org/wiki/%E8%8C%A8%E5%9F%8E%E7%9C%8C%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q61887825,茅野市図書館,,2019-06-21T01:03:31Z,JP-1001688,https://ja.wikipedia.org/wiki/%E8%8C%85%E9%87%8E%E5%B8%82%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q61885920,苫小牧市立中央図書館,,2019-08-02T02:55:35Z,JP-1000066,https://ja.wikipedia.org/wiki/%E8%8B%AB%E5%B0%8F%E7%89%A7%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11613787,舟橋村立図書館,Point(137.306639 36.705722),2019-02-27T12:15:28Z,JP-1001495,https://ja.wikipedia.org/wiki/%E8%88%9F%E6%A9%8B%E6%9D%91%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q18339331,舞鶴市立西図書館,Point(135.332194 35.449278),2019-03-11T12:59:44Z,JP-1002122,https://ja.wikipedia.org/wiki/%E8%88%9E%E9%B6%B4%E5%B8%82%E7%AB%8B%E8%A5%BF%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q18339332,舞鶴市立東図書館,Point(135.401444 35.477778),2019-02-27T12:30:54Z,JP-1002119,https://ja.wikipedia.org/wiki/%E8%88%9E%E9%B6%B4%E5%B8%82%E7%AB%8B%E6%9D%B1%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11610256,羽生市立図書館,,2019-02-27T11:55:17Z,JP-1000660,https://ja.wikipedia.org/wiki/%E7%BE%BD%E7%94%9F%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11610107,羽島市立図書館,,2019-02-27T12:22:36Z,JP-1001777,https://ja.wikipedia.org/wiki/%E7%BE%BD%E5%B3%B6%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11609638,群馬県立図書館,Point(139.073778 36.397917),2019-03-10T23:58:24Z,JP-1000545,https://ja.wikipedia.org/wiki/%E7%BE%A4%E9%A6%AC%E7%9C%8C%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11608066,練馬区立練馬図書館,,2019-02-27T12:05:29Z,JP-1001081,https://ja.wikipedia.org/wiki/%E7%B7%B4%E9%A6%AC%E5%8C%BA%E7%AB%8B%E7%B7%B4%E9%A6%AC%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q17228265,紀宝町立鵜殿図書館,Point(136.012333 33.737583),2019-02-27T12:29:18Z,JP-1002043,https://ja.wikipedia.org/wiki/%E7%B4%80%E5%AE%9D%E7%94%BA%E7%AB%8B%E9%B5%9C%E6%AE%BF%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11602970,筑西市立中央図書館,Point(139.984361 36.305528),2019-02-27T11:51:23Z,JP-1000477,https://ja.wikipedia.org/wiki/%E7%AD%91%E8%A5%BF%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11602942,筑紫野市民図書館,Point(130.519806 33.490806),2019-02-27T12:51:01Z,JP-1002907,https://ja.wikipedia.org/wiki/%E7%AD%91%E7%B4%AB%E9%87%8E%E5%B8%82%E6%B0%91%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11596628,稲敷市立図書館,Point(140.426667 35.933056),2019-02-27T11:51:26Z,JP-1000481,https://ja.wikipedia.org/wiki/%E7%A8%B2%E6%95%B7%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q18459291,稚内市立図書館,Point(141.69 45.395278),2019-02-27T11:41:42Z,JP-1000067,https://ja.wikipedia.org/wiki/%E7%A8%9A%E5%86%85%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11595444,秋田県立図書館,Point(140.0935 39.718306),2019-02-27T11:47:12Z,JP-1000298,https://ja.wikipedia.org/wiki/%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11595318,秋田市立中央図書館明徳館,Point(140.123514 39.719753),2019-03-10T17:26:44Z,JP-1000300,https://ja.wikipedia.org/wiki/%E7%A7%8B%E7%94%B0%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8%E6%98%8E%E5%BE%B3%E9%A4%A8
http://www.wikidata.org/entity/Q11593253,福島県立図書館,Point(140.457778 37.7675),2019-03-15T17:20:43Z,JP-1000380,https://ja.wikipedia.org/wiki/%E7%A6%8F%E5%B3%B6%E7%9C%8C%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11593092,福島市立図書館,,2019-02-27T11:49:13Z,JP-1000381,https://ja.wikipedia.org/wiki/%E7%A6%8F%E5%B3%B6%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11592523,福岡県立図書館,Point(130.4215 33.61625),2019-03-21T14:06:52Z,JP-1002848,https://ja.wikipedia.org/wiki/%E7%A6%8F%E5%B2%A1%E7%9C%8C%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11592378,福岡市総合図書館,Point(130.351 33.590083),2019-02-27T12:50:09Z,JP-1002866,https://ja.wikipedia.org/wiki/%E7%A6%8F%E5%B2%A1%E5%B8%82%E7%B7%8F%E5%90%88%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11591469,福井県立図書館,Point(136.242389 36.036944),2019-05-24T17:04:29Z,JP-1001549,https://ja.wikipedia.org/wiki/%E7%A6%8F%E4%BA%95%E7%9C%8C%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11591344,福井市立桜木図書館,,2019-03-02T14:18:15Z,JP-1001555,https://ja.wikipedia.org/wiki/%E7%A6%8F%E4%BA%95%E5%B8%82%E7%AB%8B%E6%A1%9C%E6%9C%A8%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11591319,福井市立図書館,,2019-05-26T07:29:27Z,JP-1001551,https://ja.wikipedia.org/wiki/%E7%A6%8F%E4%BA%95%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11591312,福井市立みどり図書館,,2019-02-27T12:16:53Z,JP-1001552,https://ja.wikipedia.org/wiki/%E7%A6%8F%E4%BA%95%E5%B8%82%E7%AB%8B%E3%81%BF%E3%81%A9%E3%82%8A%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q30116652,神戸市立兵庫図書館,,2019-02-27T12:36:02Z,JP-1002310,https://ja.wikipedia.org/wiki/%E7%A5%9E%E6%88%B8%E5%B8%82%E7%AB%8B%E5%85%B5%E5%BA%AB%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q30116678,神戸市立中央図書館,,2019-02-27T12:35:44Z,JP-1002300,https://ja.wikipedia.org/wiki/%E7%A5%9E%E6%88%B8%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q30120970,神戸市立三宮図書館,Point(135.197408 34.6949),2019-02-27T12:35:55Z,JP-1002303,https://ja.wikipedia.org/wiki/%E7%A5%9E%E6%88%B8%E5%B8%82%E7%AB%8B%E4%B8%89%E5%AE%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11589490,神宮文庫,Point(136.725833 34.485),2019-03-08T04:56:55Z,JP-1002044,https://ja.wikipedia.org/wiki/%E7%A5%9E%E5%AE%AE%E6%96%87%E5%BA%AB
http://www.wikidata.org/entity/Q11587768,碧南市民図書館,Point(136.994106 34.903589),2019-07-28T01:19:59Z,JP-1001948,https://ja.wikipedia.org/wiki/%E7%A2%A7%E5%8D%97%E5%B8%82%E6%B0%91%E5%9B%B3%E6%9B%B8%E9%A4%A8
