s,sLabel,point,update,isil,jawp
http://www.wikidata.org/entity/Q11440325,大阪市立住之江図書館,Point(135.474944 34.606444),2019-07-14T00:20:22Z,JP-1002166,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E4%BD%8F%E4%B9%8B%E6%B1%9F%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q11440289,大阪市立中央図書館,Point(135.486 34.6739),2019-08-26T16:20:35Z,JP-1002161,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8
http://www.wikidata.org/entity/Q61888313,堺市立中央図書館,,2019-05-19T05:11:28Z,JP-1002185,
http://www.wikidata.org/entity/Q61888314,堺市立中央図書館堺市駅前分館,,2019-05-19T05:11:31Z,JP-1002186,
http://www.wikidata.org/entity/Q61888315,堺市立中図書館,,2019-05-19T05:11:34Z,JP-1002187,
http://www.wikidata.org/entity/Q61888316,堺市立中図書館東百舌鳥分館,,2019-05-19T05:11:36Z,JP-1002188,
http://www.wikidata.org/entity/Q61888317,堺市立東図書館,,2019-05-19T05:11:39Z,JP-1002189,
http://www.wikidata.org/entity/Q61888318,堺市立東図書館初芝分館,,2019-05-19T05:11:41Z,JP-1002190,
http://www.wikidata.org/entity/Q61888320,堺市立南図書館,,2019-05-19T02:05:38Z,JP-1002192,
http://www.wikidata.org/entity/Q61888321,堺市立南図書館栂分館,,2019-05-19T02:05:40Z,JP-1002193,
http://www.wikidata.org/entity/Q61888322,堺市立南図書館美木多分館,,2019-05-19T05:11:46Z,JP-1002194,
http://www.wikidata.org/entity/Q61888323,堺市立北図書館,,2019-05-19T05:11:49Z,JP-1002195,
http://www.wikidata.org/entity/Q61888324,堺市立美原図書館,,2019-05-19T02:05:43Z,JP-1002196,
http://www.wikidata.org/entity/Q61888326,堺市立青少年センター図書室,,2019-05-19T02:05:46Z,JP-1002197,
http://www.wikidata.org/entity/Q61888327,堺市立人権ふれあいセンター図書ホール,,2019-05-19T02:05:48Z,JP-1002198,
http://www.wikidata.org/entity/Q61888329,岸和田市立山直図書館,,2019-05-19T02:05:51Z,JP-1002200,
http://www.wikidata.org/entity/Q61888330,岸和田市立春木図書館,,2019-05-19T02:05:54Z,JP-1002201,
http://www.wikidata.org/entity/Q61888332,豊中市立庄内図書館,,2019-05-19T02:05:56Z,JP-1002203,
http://www.wikidata.org/entity/Q61888334,豊中市立東豊中図書館,,2019-05-19T02:06:01Z,JP-1002207,
http://www.wikidata.org/entity/Q61888335,豊中市立服部図書館,,2019-05-19T02:06:04Z,JP-1002208,
http://www.wikidata.org/entity/Q61888338,豊中市立蛍池図書館,,2019-05-19T02:06:09Z,JP-1002210,
http://www.wikidata.org/entity/Q61888339,池田市立石橋プラザ,,2019-05-19T02:06:12Z,JP-1002212,
http://www.wikidata.org/entity/Q61888340,吹田市立千里図書館,,2019-05-19T02:06:14Z,JP-1002214,
